reaction_id,reaction_name,full_reaction,Glucose MFA-Constrained GSM flux,Glucose MFA-Constrained GSM LB,Glucose MFA-Constrained GSM UB,Glycerol MFA-Constrained GSM flux,Glycerol MFA-Constrained GSM LB,Glycerol MFA-Constrained GSM UB,Oleic Acid MFA-Constrained GSM flux,Oleic Acid MFA-Constrained GSM LB,Oleic Acid MFA-Constrained GSM UB,Abs_Glucose_Flux,Abs_Glycerol_Flux,Abs_Oleic_Acid_Flux
ASADi,aspartate semialdehyde dehydrogenase irreversible,4pasp[c] + h[c] + nadph[c] --> aspsa[c] + nadp[c] + pi[c],0.7041900471335,0.5959380262956667,8.211458200363834,1.987556535072,1.7472010788756667,2.103394191142,0.3640124495261111,0.34725644400666666,8.555311881982778,0.7041900471335,1.987556535072,0.3640124495261111
ASPKi,aspartate kinase irreversible,asp_L[c] + atp[c] --> 4pasp[c] + adp[c],0.7041900471335,0.5959380262956667,8.211458200350167,1.987556535072,1.7472010789756667,2.103394191042,0.3640124495261111,0.34725644400666666,8.555311881963332,0.7041900471335,1.987556535072,0.3640124495261111
13GS,1 3 beta glucan synthase,udpg[c] --> 13BDglcn[c] + h[c] + udp[c],1.4242813791258333,1.2053329032715,19.862041815426668,1.1675821952563334,1.1645240754813333,1.5078307459466667,1.2629966448877776,1.2048591312383334,15.85366841503889,1.4242813791258333,1.1675821952563334,1.2629966448877776
6PGLter,6 phospho D glucono 1 5 lactone endoplasmic reticular transport via diffusion,6pgl[c] <=> 6pgl[r],-0.16417225598266666,-0.5898714727405,-0.13893478131516665,-0.13458338067866668,-0.139026085691,-0.13423088121500001,-0.29121522031944447,-0.5565192026233334,-0.2778101737466667,0.16417225598266666,0.13458338067866668,0.29121522031944447
TRE6PP,trehalose phosphatase,h2o[c] + tre6p[c] --> pi[c] + tre[c],0.010356633733666666,0.008764554244166667,12.446570495678166,0.008490050721333334,0.008467813664333334,0.23733892730766668,0.009183854994999999,0.00876110922,9.77463396510389,0.010356633733666666,0.008490050721333334,0.009183854994999999
TRE6PS,alpha alpha trehalose phosphate synthase UDP forming ,g6p[c] + udpg[c] --> h[c] + tre6p[c] + udp[c],0.010356633733666666,0.008764554244166667,12.446570495687666,0.008490050721333334,0.008467813664333334,0.23733892730766668,0.009183854994999999,0.00876110922,9.774633965103334,0.010356633733666666,0.008490050721333334,0.009183854994999999
PC,pyruvate carboxylase,atp[c] + hco3[c] + pyr[c] --> adp[c] + h[c] + oaa[c] + pi[c],2.934707694125,0.0,45.58910782427383,4.543912361916,4.0981240607039995,5.372363650198333,0.0,0.0,39.063491423452774,2.934707694125,4.543912361916,0.0
ACGAM6PS,N acetylglucosamine 6 phosphate synthase,accoa[c] + gam6p[c] <=> acgam6p[c] + coa[c] + h[c],1.3109929717120001,1.1094598215776668,1.3109929717126667,1.0747118331466667,1.0718969585086666,1.0747118331503334,1.1625369460072221,1.1090237337272222,1.1625369460072221,1.3109929717120001,1.0747118331466667,1.1625369460072221
ACGAMPM,phosphoacetylglucosamine mutase,acgam6p[c] <=> acgam1p[c],1.3109929717120001,1.1094598215776668,1.3109929717126667,1.0747118331466667,1.0718969585086666,1.0747118331503334,1.1625369460072221,1.1090237337272222,1.1625369460072221,1.3109929717120001,1.0747118331466667,1.1625369460072221
ACGKm,acetylglutamate kinase mitochondrial,acglu[m] + atp[m] --> acg5p[m] + adp[m],0.2560371760895,0.21667771363449997,25.006309120781335,0.20989142490166668,0.209341679351,1.0641145248136665,0.1323516570811111,0.12625932397666667,20.379458203143333,0.2560371760895,0.20989142490166668,0.1323516570811111
